Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
2014Q4,S08000029,S08000029,,Head & Neck,,572,,527,
2014Q4,S08000029,S08000029,,Lung,,300,,307,
2014Q4,S08000029,S08000029,,Lymphoma,,209,,210,
2014Q4,S08000029,S08000029,,Melanoma,,24,,14,
2014Q4,S08000029,S08000029,,Ovarian,,538,,504,
2014Q4,S08000029,S08000029,,Upper GI,,177,,179,
2014Q4,S08000029,S08000029,,Urological,,474,,433,
2014Q4,S08000029,S08000029,,All Cancer Types,d,224,,217,
2014Q4,S08000029,S08000030,,Lung,,157,,158,
2014Q4,S08000029,S08000030,,Urological,,1,,2,
2014Q4,S08000029,S08000030,,All Cancer Types,d,260,,265,
2014Q4,S08000029,S92000003,d,Breast,,370,,365,
2014Q4,S08000029,S92000003,d,Cervical,,511,,504,
2014Q4,S08000029,S92000003,d,Colorectal,,471,,470,
2014Q4,S08000029,S92000003,d,Head & Neck,,121,,114,
2014Q4,S08000029,S92000003,d,Lung,,478,,474,
2014Q4,S08000029,S92000003,d,Lymphoma,,218,,221,
2014Q4,S08000029,S92000003,d,Melanoma,,24,,14,
2014Q4,S08000029,S92000003,d,Ovarian,,2,,562,
2014Q4,S08000029,S92000003,d,Upper GI,,283,,288,
2014Q4,S08000029,S92000003,d,Urological,,501,,459,
2014Q4,S08000029,S92000003,d,All Cancer Types,d,290,,281,
2014Q4,S08000030,S08000024,,Lung,,352,,353,
2014Q4,S08000030,S08000024,,All Cancer Types,d,352,,353,
2014Q4,S08000030,S08000030,,Breast,,19,,19,
2014Q4,S08000030,S08000030,,Cervical,,13,,562,
2014Q4,S08000030,S08000030,,Colorectal,,556,,548,
2014Q4,S08000030,S08000030,,Head & Neck,,53,,38,
2014Q4,S08000030,S08000030,,Lung,,518,,506,
2014Q4,S08000030,S08000030,,Melanoma,,400,,375,
2014Q4,S08000030,S08000030,,Upper GI,,478,,476,
2014Q4,S08000030,S08000030,,Urological,,28,,17,
2014Q4,S08000030,S08000030,,All Cancer Types,d,445,,431,
2014Q4,S08000030,S92000003,d,Breast,,19,,19,
2014Q4,S08000030,S92000003,d,Cervical,,13,,562,
2014Q4,S08000030,S92000003,d,Colorectal,,556,,548,
2014Q4,S08000030,S92000003,d,Head & Neck,,53,,38,
2014Q4,S08000030,S92000003,d,Lung,,528,,516,
2014Q4,S08000030,S92000003,d,Melanoma,,400,,375,
2014Q4,S08000030,S92000003,d,Upper GI,,478,,476,
2014Q4,S08000030,S92000003,d,Urological,,28,,17,
2014Q4,S08000030,S92000003,d,All Cancer Types,d,448,,435,
2014Q4,S08000031,S08000019,,Breast,,352,,353,
2014Q4,S08000031,S08000019,,All Cancer Types,d,352,,353,
2014Q4,S08000031,S08000022,,Colorectal,,1,,2,
2014Q4,S08000031,S08000022,,Lung,,1,,2,
2014Q4,S08000031,S08000022,,Lymphoma,,1,,2,
2014Q4,S08000031,S08000022,,All Cancer Types,d,260,,265,
2014Q4,S08000031,S08000030,,Urological,,1,,2,
2014Q4,S08000031,S08000030,,All Cancer Types,d,1,,2,
2014Q4,S08000031,S08000031,,Breast,,301,,302,
2014Q4,S08000031,S08000031,,Cervical,,137,,140,
2014Q4,S08000031,S08000031,,Colorectal,,135,,135,
2014Q4,S08000031,S08000031,,Head & Neck,,556,,536,
2014Q4,S08000031,S08000031,,Lung,,199,,200,
2014Q4,S08000031,S08000031,,Lymphoma,,504,,495,
2014Q4,S08000031,S08000031,,Melanoma,,531,,521,
2014Q4,S08000031,S08000031,,Ovarian,,158,,159,
2014Q4,S08000031,S08000031,,Upper GI,,21,,19,
2014Q4,S08000031,S08000031,,Urological,,246,,218,
2014Q4,S08000031,S08000031,,All Cancer Types,d,61,,60,
2014Q4,S08000031,S08000032,,Breast,,53,,38,
2014Q4,S08000031,S08000032,,All Cancer Types,d,53,,38,
2014Q4,S08000031,S92000003,d,Breast,,319,,315,
2014Q4,S08000031,S92000003,d,Cervical,,137,,140,
2014Q4,S08000031,S92000003,d,Colorectal,,136,,136,
2014Q4,S08000031,S92000003,d,Head & Neck,,556,,536,
2014Q4,S08000031,S92000003,d,Lung,,242,,246,
2014Q4,S08000031,S92000003,d,Lymphoma,,507,,497,
2014Q4,S08000031,S92000003,d,Melanoma,,531,,521,
2014Q4,S08000031,S92000003,d,Ovarian,,158,,159,
2014Q4,S08000031,S92000003,d,Upper GI,,21,,19,
2014Q4,S08000031,S92000003,d,Urological,,247,,219,
2014Q4,S08000031,S92000003,d,All Cancer Types,d,79,,82,
2014Q4,S08000031,SB0801,,Lung,,359,,357,
2014Q4,S08000031,SB0801,,All Cancer Types,d,359,,357,
2014Q4,S08000032,S08000024,,Colorectal,,1,,2,
2014Q4,S08000032,S08000024,,Urological,,157,,2,
2014Q4,S08000032,S08000024,,All Cancer Types,d,260,,158,
2014Q4,S08000032,S08000031,,Breast,,157,,158,
2014Q4,S08000032,S08000031,,Cervical,,260,,265,
2014Q4,S08000032,S08000031,,Colorectal,,13,,14,
2014Q4,S08000032,S08000031,,Head & Neck,,24,,25,
2014Q4,S08000032,S08000031,,Lung,,105,,114,
2014Q4,S08000032,S08000031,,Melanoma,,423,,424,
2014Q4,S08000032,S08000031,,Ovarian,,538,,527,
2014Q4,S08000032,S08000031,,Upper GI,,483,,479,
2014Q4,S08000032,S08000031,,Urological,,81,,68,
2014Q4,S08000032,S08000031,,All Cancer Types,d,533,,521,
2014Q4,S08000032,S08000032,,Breast,,556,,548,
2014Q4,S08000032,S08000032,,Cervical,,483,,479,
2014Q4,S08000032,S08000032,,Colorectal,,508,,498,
2014Q4,S08000032,S08000032,,Head & Neck,,105,,114,
2014Q4,S08000032,S08000032,,Lung,,507,,497,
2014Q4,S08000032,S08000032,,Lymphoma,,137,,140,
2014Q4,S08000032,S08000032,,Melanoma,,239,,243,
2014Q4,S08000032,S08000032,,Ovarian,,2,,3,
2014Q4,S08000032,S08000032,,Upper GI,,337,,338,
2014Q4,S08000032,S08000032,,Urological,,6,,580,
2014Q4,S08000032,S08000032,,All Cancer Types,d,380,,372,
2014Q4,S08000032,S92000003,d,Breast,,560,,556,
2014Q4,S08000032,S92000003,d,Cervical,,572,,562,
2014Q4,S08000032,S92000003,d,Colorectal,,539,,528,
2014Q4,S08000032,S92000003,d,Head & Neck,,239,,243,
2014Q4,S08000032,S92000003,d,Lung,,593,,581,
2014Q4,S08000032,S92000003,d,Lymphoma,,137,,140,
2014Q4,S08000032,S92000003,d,Melanoma,,292,,298,
2014Q4,S08000032,S92000003,d,Ovarian,,137,,140,
2014Q4,S08000032,S92000003,d,Upper GI,,381,,375,
2014Q4,S08000032,S92000003,d,Urological,,25,,18,
2014Q4,S08000032,S92000003,d,All Cancer Types,d,453,,449,
2014Q4,S08000032,SB0801,,Lung,,105,,114,
2014Q4,S08000032,SB0801,,All Cancer Types,d,105,,114,
2015Q1,S08000015,S08000015,,Breast,,5,,6,
2015Q1,S08000015,S08000015,,Cervical,,157,,158,
2015Q1,S08000015,S08000015,,Colorectal,,447,,433,
2015Q1,S08000015,S08000015,,Head & Neck,,538,,527,
2015Q1,S08000015,S08000015,,Lung,,415,,417,
2015Q1,S08000015,S08000015,,Lymphoma,,177,,179,
2015Q1,S08000015,S08000015,,Melanoma,,198,,199,
2015Q1,S08000015,S08000015,,Ovarian,,483,,479,
2015Q1,S08000015,S08000015,,Upper GI,,292,,298,
2015Q1,S08000015,S08000015,,Urological,,545,,534,
2015Q1,S08000015,S08000015,,All Cancer Types,d,339,,336,
2015Q1,S08000015,S08000017,,Breast,,157,,158,
2015Q1,S08000015,S08000017,,All Cancer Types,d,157,,158,
2015Q1,S08000015,S08000024,,Upper GI,,1,,2,
2015Q1,S08000015,S08000024,,All Cancer Types,d,1,,2,
2015Q1,S08000015,S08000031,,Breast,,352,,353,
2015Q1,S08000015,S08000031,,Cervical,,483,,479,
2015Q1,S08000015,S08000031,,Colorectal,,483,,479,
2015Q1,S08000015,S08000031,,Head & Neck,,13,,14,
2015Q1,S08000015,S08000031,,Lung,,53,,68,
2015Q1,S08000015,S08000031,,Lymphoma,,260,,265,
2015Q1,S08000015,S08000031,,Melanoma,,483,,479,
2015Q1,S08000015,S08000031,,Ovarian,,483,,479,
2015Q1,S08000015,S08000031,,Upper GI,,13,,14,
2015Q1,S08000015,S08000031,,Urological,,1,,2,
2015Q1,S08000015,S08000031,,All Cancer Types,d,508,,498,
2015Q1,S08000015,S92000003,d,Breast,,11,,12,
2015Q1,S08000015,S92000003,d,Cervical,,538,,527,
2015Q1,S08000015,S92000003,d,Colorectal,,478,,470,
2015Q1,S08000015,S92000003,d,Head & Neck,,148,,150,
2015Q1,S08000015,S92000003,d,Lung,,522,,515,
2015Q1,S08000015,S92000003,d,Lymphoma,,209,,210,
2015Q1,S08000015,S92000003,d,Melanoma,,261,,266,
2015Q1,S08000015,S92000003,d,Ovarian,,24,,25,
2015Q1,S08000015,S92000003,d,Upper GI,,388,,382,
2015Q1,S08000015,S92000003,d,Urological,,550,,536,
2015Q1,S08000015,S92000003,d,All Cancer Types,d,397,,390,
2015Q1,S08000015,SB0801,,Lung,,13,,14,
2015Q1,S08000015,SB0801,,All Cancer Types,d,13,,14,
2015Q1,S08000016,S08000016,,Breast,,53,,68,
2015Q1,S08000016,S08000016,,Colorectal,,158,,150,
2015Q1,S08000016,S08000016,,Head & Neck,,260,,265,
2015Q1,S08000016,S08000016,,Lung,,511,,504,
2015Q1,S08000016,S08000016,,Lymphoma,,483,,479,
2015Q1,S08000016,S08000016,,Melanoma,,423,,353,
2015Q1,S08000016,S08000016,,Ovarian,,157,,158,
2015Q1,S08000016,S08000016,,Upper GI,,572,,562,
2015Q1,S08000016,S08000016,,Urological,,177,,179,
2015Q1,S08000016,S08000016,,All Cancer Types,d,562,,553,
2015Q1,S08000016,S08000024,,Breast,,1,,2,
2015Q1,S08000016,S08000024,,Colorectal,,538,,527,
2015Q1,S08000016,S08000024,,Head & Neck,,260,,265,
2015Q1,S08000016,S08000024,,Lung,,423,,424,
2015Q1,S08000016,S08000024,,Melanoma,,1,,2,
2015Q1,S08000016,S08000024,,Upper GI,,511,,504,
2015Q1,S08000016,S08000024,,Urological,,511,,353,
2015Q1,S08000016,S08000024,,All Cancer Types,d,283,,254,
2015Q1,S08000016,S92000003,d,Breast,,81,,97,
2015Q1,S08000016,S92000003,d,Colorectal,,239,,232,
2015Q1,S08000016,S92000003,d,Head & Neck,,483,,479,
2015Q1,S08000016,S92000003,d,Lung,,24,,25,
2015Q1,S08000016,S92000003,d,Lymphoma,,483,,479,
2015Q1,S08000016,S92000003,d,Melanoma,,483,,424,
2015Q1,S08000016,S92000003,d,Ovarian,,157,,158,
2015Q1,S08000016,S92000003,d,Upper GI,,105,,114,
2015Q1,S08000016,S92000003,d,Urological,,250,,221,
2015Q1,S08000016,S92000003,d,All Cancer Types,d,25,,20,
2015Q1,S08000017,S08000017,,Breast,,188,,190,
2015Q1,S08000017,S08000017,,Colorectal,,239,,243,
2015Q1,S08000017,S08000017,,Head & Neck,,423,,424,
2015Q1,S08000017,S08000017,,Lung,,228,,232,
2015Q1,S08000017,S08000017,,Lymphoma,,24,,25,
2015Q1,S08000017,S08000017,,Melanoma,,538,,527,
2015Q1,S08000017,S08000017,,Ovarian,,352,,353,
2015Q1,S08000017,S08000017,,Upper GI,,24,,25,
2015Q1,S08000017,S08000017,,Urological,,198,,199,
2015Q1,S08000017,S08000017,,All Cancer Types,d,63,,77,
2015Q1,S08000017,S08000024,,Breast,,1,,2,
2015Q1,S08000017,S08000024,,Cervical,,1,,2,
2015Q1,S08000017,S08000024,,Colorectal,,1,,2,
2015Q1,S08000017,S08000024,,Head & Neck,,157,,158,
2015Q1,S08000017,S08000024,,Lung,,572,,562,
2015Q1,S08000017,S08000024,,Ovarian,,1,,2,
2015Q1,S08000017,S08000024,,Upper GI,,423,,353,
2015Q1,S08000017,S08000024,,Urological,,81,,504,
2015Q1,S08000017,S08000024,,All Cancer Types,d,310,,221,
2015Q1,S08000017,S08000031,,Head & Neck,,1,,2,
2015Q1,S08000017,S08000031,,All Cancer Types,d,1,,2,
2015Q1,S08000017,S92000003,d,Breast,,198,,199,
2015Q1,S08000017,S92000003,d,Cervical,,1,,2,
2015Q1,S08000017,S92000003,d,Colorectal,,250,,254,
2015Q1,S08000017,S92000003,d,Head & Neck,,538,,527,
2015Q1,S08000017,S92000003,d,Lung,,337,,338,
2015Q1,S08000017,S92000003,d,Lymphoma,,24,,25,
2015Q1,S08000017,S92000003,d,Melanoma,,538,,527,
2015Q1,S08000017,S92000003,d,Ovarian,,423,,424,
2015Q1,S08000017,S92000003,d,Upper GI,,121,,114,
2015Q1,S08000017,S92000003,d,Urological,,346,,277,
2015Q1,S08000017,S92000003,d,All Cancer Types,d,139,,132,
2015Q1,S08000017,SB0801,,Lung,,157,,158,
2015Q1,S08000017,SB0801,,All Cancer Types,d,157,,158,
2015Q1,S08000019,S08000019,,Breast,,330,,298,
2015Q1,S08000019,S08000019,,Cervical,,423,,424,
2015Q1,S08000019,S08000019,,Colorectal,,337,,329,
2015Q1,S08000019,S08000019,,Head & Neck,,352,,353,
2015Q1,S08000019,S08000019,,Lung,,292,,298,
2015Q1,S08000019,S08000019,,Lymphoma,,35,,38,
2015Q1,S08000019,S08000019,,Melanoma,,105,,114,
2015Q1,S08000019,S08000019,,Ovarian,,1,,2,
2015Q1,S08000019,S08000019,,Upper GI,,228,,232,
2015Q1,S08000019,S08000019,,Urological,,512,,505,
2015Q1,S08000019,S08000019,,All Cancer Types,d,203,,198,
2015Q1,S08000019,S08000024,,Upper GI,,157,,158,
2015Q1,S08000019,S08000024,,All Cancer Types,d,157,,158,
2015Q1,S08000019,S08000031,,Breast,,1,,1,
2015Q1,S08000019,S08000031,,Cervical,,157,,158,
2015Q1,S08000019,S08000031,,Colorectal,,1,,2,
2015Q1,S08000019,S08000031,,Head & Neck,,24,,25,
2015Q1,S08000019,S08000031,,Lung,,423,,424,
2015Q1,S08000019,S08000031,,Ovarian,,352,,353,
2015Q1,S08000019,S08000031,,Upper GI,,511,,504,
2015Q1,S08000019,S08000031,,Urological,,352,,265,
2015Q1,S08000019,S08000031,,All Cancer Types,d,321,,307,
2015Q1,S08000019,S08000032,,Head & Neck,,1,,2,
2015Q1,S08000019,S08000032,,All Cancer Types,d,1,,2,
2015Q1,S08000019,S92000003,d,Breast,,337,,298,
2015Q1,S08000019,S92000003,d,Cervical,,511,,504,
2015Q1,S08000019,S92000003,d,Colorectal,,346,,338,
2015Q1,S08000019,S92000003,d,Head & Neck,,121,,129,
2015Q1,S08000019,S92000003,d,Lung,,431,,433,
2015Q1,S08000019,S92000003,d,Lymphoma,,35,,38,
2015Q1,S08000019,S92000003,d,Melanoma,,105,,114,
2015Q1,S08000019,S92000003,d,Ovarian,,423,,424,
2015Q1,S08000019,S92000003,d,Upper GI,,321,,323,
2015Q1,S08000019,S92000003,d,Urological,,522,,513,
2015Q1,S08000019,S92000003,d,All Cancer Types,d,257,,253,
2015Q1,S08000019,SB0801,,Lung,,35,,38,
2015Q1,S08000019,SB0801,,All Cancer Types,d,35,,38,
2015Q1,S08000020,S08000020,,Breast,,562,,557,
2015Q1,S08000020,S08000020,,Cervical,,423,,424,
2015Q1,S08000020,S08000020,,Colorectal,,520,,513,
2015Q1,S08000020,S08000020,,Head & Neck,,250,,243,
2015Q1,S08000020,S08000020,,Lung,,533,,521,
2015Q1,S08000020,S08000020,,Lymphoma,,300,,298,
2015Q1,S08000020,S08000020,,Melanoma,,228,,232,
2015Q1,S08000020,S08000020,,Ovarian,,24,,25,
2015Q1,S08000020,S08000020,,Upper GI,,518,,506,
2015Q1,S08000020,S08000020,,Urological,,38,,16,
2015Q1,S08000020,S08000020,,All Cancer Types,d,462,,445,
2015Q1,S08000020,S08000022,,Colorectal,,1,,2,
2015Q1,S08000020,S08000022,,Lymphoma,,1,,2,
2015Q1,S08000020,S08000022,,All Cancer Types,d,157,,158,
2015Q1,S08000020,S08000024,,Urological,,1,,2,
2015Q1,S08000020,S08000024,,All Cancer Types,d,1,,2,
2015Q1,S08000020,S08000025,,Lung,,1,,2,
2015Q1,S08000020,S08000025,,Melanoma,,1,,2,
2015Q1,S08000020,S08000025,,All Cancer Types,d,157,,158,
2015Q1,S08000020,S92000003,d,Breast,,562,,557,
2015Q1,S08000020,S92000003,d,Cervical,,423,,424,
2015Q1,S08000020,S92000003,d,Colorectal,,522,,515,
2015Q1,S08000020,S92000003,d,Head & Neck,,250,,243,
2015Q1,S08000020,S92000003,d,Lung,,536,,525,
2015Q1,S08000020,S92000003,d,Lymphoma,,310,,307,
2015Q1,S08000020,S92000003,d,Melanoma,,239,,243,
2015Q1,S08000020,S92000003,d,Ovarian,,24,,25,
2015Q1,S08000020,S92000003,d,Upper GI,,518,,506,
2015Q1,S08000020,S92000003,d,Urological,,40,,17,
2015Q1,S08000020,S92000003,d,All Cancer Types,d,465,,451,
2015Q1,S08000022,S08000020,,Urological,,423,,158,
2015Q1,S08000022,S08000020,,All Cancer Types,d,423,,158,
2015Q1,S08000022,S08000022,,Breast,,508,,490,
2015Q1,S08000022,S08000022,,Cervical,,1,,2,
2015Q1,S08000022,S08000022,,Colorectal,,353,,354,
2015Q1,S08000022,S08000022,,Head & Neck,,105,,68,
2015Q1,S08000022,S08000022,,Lung,,337,,329,
2015Q1,S08000022,S08000022,,Lymphoma,,13,,14,
2015Q1,S08000022,S08000022,,Melanoma,,24,,25,
2015Q1,S08000022,S08000022,,Ovarian,,572,,562,
2015Q1,S08000022,S08000022,,Upper GI,,218,,221,
2015Q1,S08000022,S08000022,,Urological,,509,,490,
2015Q1,S08000022,S08000022,,All Cancer Types,d,251,,241,
2015Q1,S08000022,S08000028,,Breast,,1,,2,
2015Q1,S08000022,S08000028,,All Cancer Types,d,1,,2,
2015Q1,S08000022,S08000031,,Head & Neck,,1,,2,
2015Q1,S08000022,S08000031,,Lung,,1,,2,
2015Q1,S08000022,S08000031,,Upper GI,,1,,2,
2015Q1,S08000022,S08000031,,Urological,,352,,265,
2015Q1,S08000022,S08000031,,All Cancer Types,d,511,,479,
2015Q1,S08000022,S92000003,d,Breast,,509,,492,
2015Q1,S08000022,S92000003,d,Cervical,,1,,2,
2015Q1,S08000022,S92000003,d,Colorectal,,353,,354,
2015Q1,S08000022,S92000003,d,Head & Neck,,121,,97,
2015Q1,S08000022,S92000003,d,Lung,,388,,375,
2015Q1,S08000022,S92000003,d,Lymphoma,,13,,14,
2015Q1,S08000022,S92000003,d,Melanoma,,24,,25,
2015Q1,S08000022,S92000003,d,Ovarian,,572,,562,
2015Q1,S08000022,S92000003,d,Upper GI,,228,,232,
2015Q1,S08000022,S92000003,d,Urological,,533,,501,
2015Q1,S08000022,S92000003,d,All Cancer Types,d,271,,258,
2015Q1,S08000022,SB0801,,Lung,,483,,479,
2015Q1,S08000022,SB0801,,All Cancer Types,d,483,,479,
2015Q1,S08000024,S08000016,,Breast,,352,,353,
2015Q1,S08000024,S08000016,,All Cancer Types,d,352,,353,
2015Q1,S08000024,S08000019,,Breast,,260,,265,
2015Q1,S08000024,S08000019,,All Cancer Types,d,260,,265,
2015Q1,S08000024,S08000024,,Breast,,183,,185,
2015Q1,S08000024,S08000024,,Cervical,,239,,243,
2015Q1,S08000024,S08000024,,Colorectal,,533,,506,
2015Q1,S08000024,S08000024,,Head & Neck,,359,,357,
2015Q1,S08000024,S08000024,,Lung,,93,,106,
2015Q1,S08000024,S08000024,,Lymphoma,,359,,357,
2015Q1,S08000024,S08000024,,Melanoma,,388,,382,
2015Q1,S08000024,S08000024,,Ovarian,,572,,562,
2015Q1,S08000024,S08000024,,Upper GI,,394,,389,
2015Q1,S08000024,S08000024,,Urological,,37,,16,
2015Q1,S08000024,S08000024,,All Cancer Types,d,537,,522,
2015Q1,S08000024,S08000029,,Breast,,1,,2,
2015Q1,S08000024,S08000029,,All Cancer Types,d,1,,2,
2015Q1,S08000024,S92000003,d,Breast,,192,,193,
2015Q1,S08000024,S92000003,d,Cervical,,239,,243,
2015Q1,S08000024,S92000003,d,Colorectal,,533,,506,
2015Q1,S08000024,S92000003,d,Head & Neck,,359,,357,
2015Q1,S08000024,S92000003,d,Lung,,93,,106,
2015Q1,S08000024,S92000003,d,Lymphoma,,359,,357,
2015Q1,S08000024,S92000003,d,Melanoma,,388,,382,
2015Q1,S08000024,S92000003,d,Ovarian,,572,,562,
2015Q1,S08000024,S92000003,d,Upper GI,,394,,389,
2015Q1,S08000024,S92000003,d,Urological,,37,,16,
2015Q1,S08000024,S92000003,d,All Cancer Types,d,540,,524,
2015Q1,S08000025,S08000020,,Colorectal,,1,,2,
2015Q1,S08000025,S08000020,,All Cancer Types,d,1,,2,
2015Q1,S08000025,S08000025,,Breast,,1,,2,
2015Q1,S08000025,S08000025,,Colorectal,,1,,2,
2015Q1,S08000025,S08000025,,All Cancer Types,d,157,,158,
2015Q1,S08000025,S92000003,d,Breast,,1,,2,
2015Q1,S08000025,S92000003,d,Colorectal,,157,,158,
2015Q1,S08000025,S92000003,d,All Cancer Types,d,260,,265,
2015Q1,S08000026,S08000020,,Breast,,1,,2,
2015Q1,S08000026,S08000020,,Lung,,157,,158,
2015Q1,S08000026,S08000020,,Upper GI,,260,,265,
2015Q1,S08000026,S08000020,,Urological,,157,,158,
2015Q1,S08000026,S08000020,,All Cancer Types,d,538,,527,
2015Q1,S08000026,S08000026,,Breast,,260,,265,
2015Q1,S08000026,S08000026,,Colorectal,,157,,158,
2015Q1,S08000026,S08000026,,Head & Neck,,1,,2,
2015Q1,S08000026,S08000026,,Melanoma,,1,,2,
2015Q1,S08000026,S08000026,,Upper GI,,1,,2,
2015Q1,S08000026,S08000026,,Urological,,260,,265,
2015Q1,S08000026,S08000026,,All Cancer Types,d,13,,14,
2015Q1,S08000026,S92000003,d,Breast,,352,,353,
2015Q1,S08000026,S92000003,d,Colorectal,,157,,158,
2015Q1,S08000026,S92000003,d,Head & Neck,,1,,2,
2015Q1,S08000026,S92000003,d,Lung,,157,,158,
2015Q1,S08000026,S92000003,d,Melanoma,,1,,2,
2015Q1,S08000026,S92000003,d,Upper GI,,352,,353,
2015Q1,S08000026,S92000003,d,Urological,,423,,424,
2015Q1,S08000026,S92000003,d,All Cancer Types,d,148,,150,
2015Q1,S08000028,S08000022,,Colorectal,,157,,158,
2015Q1,S08000028,S08000022,,Head & Neck,,157,,158,
2015Q1,S08000028,S08000022,,Lung,,260,,265,
2015Q1,S08000028,S08000022,,Upper GI,,157,,158,
2015Q1,S08000028,S08000022,,All Cancer Types,d,572,,562,
2015Q1,S08000028,S08000028,,Breast,,1,,2,
2015Q1,S08000028,S08000028,,Colorectal,,1,,2,
2015Q1,S08000028,S08000028,,Lung,,157,,158,
2015Q1,S08000028,S08000028,,Lymphoma,,1,,2,
2015Q1,S08000028,S08000028,,All Cancer Types,d,423,,424,
2015Q1,S08000028,S08000031,,Cervical,,1,,2,
2015Q1,S08000028,S08000031,,Upper GI,,157,,158,
2015Q1,S08000028,S08000031,,All Cancer Types,d,260,,265,
2015Q1,S08000028,S92000003,d,Breast,,1,,2,
2015Q1,S08000028,S92000003,d,Cervical,,1,,2,
2015Q1,S08000028,S92000003,d,Colorectal,,260,,265,
2015Q1,S08000028,S92000003,d,Head & Neck,,157,,158,
2015Q1,S08000028,S92000003,d,Lung,,423,,424,
2015Q1,S08000028,S92000003,d,Lymphoma,,1,,2,
2015Q1,S08000028,S92000003,d,Upper GI,,352,,353,
2015Q1,S08000028,S92000003,d,All Cancer Types,d,121,,129,
2015Q1,S08000029,S08000024,,Breast,,157,,158,
2015Q1,S08000029,S08000024,,Cervical,,352,,265,
2015Q1,S08000029,S08000024,,Colorectal,,157,,158,
2015Q1,S08000029,S08000024,,Head & Neck,,538,,527,
2015Q1,S08000029,S08000024,,Lung,,310,,307,
2015Q1,S08000029,S08000024,,Lymphoma,,260,,265,
2015Q1,S08000029,S08000024,,Upper GI,,2,,562,
2015Q1,S08000029,S08000024,,Urological,,352,,158,
2015Q1,S08000029,S08000024,,All Cancer Types,d,508,,489,
2015Q1,S08000029,S08000029,,Breast,,405,,399,
2015Q1,S08000029,S08000029,,Colorectal,,330,,329,
2015Q1,S08000029,S08000029,,Head & Neck,,260,,265,
2015Q1,S08000029,S08000029,,Lung,,405,,408,
2015Q1,S08000029,S08000029,,Lymphoma,,148,,150,
2015Q1,S08000029,S08000029,,Melanoma,,35,,25,
2015Q1,S08000029,S08000029,,Ovarian,,423,,424,
2015Q1,S08000029,S08000029,,Upper GI,,188,,190,
2015Q1,S08000029,S08000029,,Urological,,528,,497,
2015Q1,S08000029,S08000029,,All Cancer Types,d,231,,223,
2015Q1,S08000029,S08000030,,Colorectal,,1,,2,
2015Q1,S08000029,S08000030,,Lung,,157,,158,
2015Q1,S08000029,S08000030,,Lymphoma,,1,,2,
2015Q1,S08000029,S08000030,,Melanoma,,157,,2,
2015Q1,S08000029,S08000030,,Urological,,1,,1,
2015Q1,S08000029,S08000030,,All Cancer Types,d,511,,424,
2015Q1,S08000029,S08000031,,Head & Neck,,1,,2,
2015Q1,S08000029,S08000031,,All Cancer Types,d,1,,2,
2015Q1,S08000029,S92000003,d,Breast,,424,,417,
2015Q1,S08000029,S92000003,d,Cervical,,352,,265,
2015Q1,S08000029,S92000003,d,Colorectal,,353,,354,
2015Q1,S08000029,S92000003,d,Head & Neck,,24,,25,
2015Q1,S08000029,S92000003,d,Lung,,556,,542,
2015Q1,S08000029,S92000003,d,Lymphoma,,188,,190,
2015Q1,S08000029,S92000003,d,Melanoma,,81,,38,
2015Q1,S08000029,S92000003,d,Ovarian,,423,,424,
2015Q1,S08000029,S92000003,d,Upper GI,,292,,288,
2015Q1,S08000029,S92000003,d,Urological,,541,,501,
2015Q1,S08000029,S92000003,d,All Cancer Types,d,308,,299,
2015Q1,S08000030,S08000024,,Lung,,352,,353,
2015Q1,S08000030,S08000024,,All Cancer Types,d,352,,353,
2015Q1,S08000030,S08000030,,Breast,,574,,563,
2015Q1,S08000030,S08000030,,Cervical,,2,,527,
2015Q1,S08000030,S08000030,,Colorectal,,508,,497,
2015Q1,S08000030,S08000030,,Head & Neck,,158,,129,
2015Q1,S08000030,S08000030,,Lung,,520,,506,
2015Q1,S08000030,S08000030,,Lymphoma,,121,,129,
2015Q1,S08000030,S08000030,,Melanoma,,218,,199,
2015Q1,S08000030,S08000030,,Ovarian,,352,,353,
2015Q1,S08000030,S08000030,,Upper GI,,509,,501,
2015Q1,S08000030,S08000030,,Urological,,10,,572,
2015Q1,S08000030,S08000030,,All Cancer Types,d,411,,391,
2015Q1,S08000030,S92000003,d,Breast,,574,,563,
2015Q1,S08000030,S92000003,d,Cervical,,2,,527,
2015Q1,S08000030,S92000003,d,Colorectal,,508,,497,
2015Q1,S08000030,S92000003,d,Head & Neck,,158,,129,
2015Q1,S08000030,S92000003,d,Lung,,531,,516,
2015Q1,S08000030,S92000003,d,Lymphoma,,121,,129,
2015Q1,S08000030,S92000003,d,Melanoma,,218,,199,
2015Q1,S08000030,S92000003,d,Ovarian,,352,,353,
2015Q1,S08000030,S92000003,d,Upper GI,,509,,501,
2015Q1,S08000030,S92000003,d,Urological,,10,,572,
2015Q1,S08000030,S92000003,d,All Cancer Types,d,414,,394,
2015Q1,S08000031,S08000019,,Breast,,1,,2,
2015Q1,S08000031,S08000019,,All Cancer Types,d,1,,2,
2015Q1,S08000031,S08000022,,Upper GI,,1,,2,
2015Q1,S08000031,S08000022,,All Cancer Types,d,1,,2,
