Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
2013Q3,S08000024,,S08000024,Upper GI,,219,,217,
2013Q3,S08000024,,S08000024,Urological,,308,,293,
2013Q3,S08000024,,S08000024,All Cancer Types,d,295,,286,
2013Q3,S08000024,,S08000029,Breast,,203,,203,
2013Q3,S08000024,,S08000029,All Cancer Types,d,203,,203,
2013Q3,S08000025,,S08000020,Breast,,1,,2,
2013Q3,S08000025,,S08000020,Upper GI,,1,,2,
2013Q3,S08000025,,S08000020,Urological,,1,,2,
2013Q3,S08000025,,S08000020,All Cancer Types,d,203,,203,
2013Q3,S08000025,,S08000025,Urological,,1,,2,
2013Q3,S08000025,,S08000025,All Cancer Types,d,1,,2,
2013Q3,S08000026,,S08000020,Breast,,113,,109,
2013Q3,S08000026,,S08000020,Colorectal,,1,,2,
2013Q3,S08000026,,S08000020,Lung,,1,,1,
2013Q3,S08000026,,S08000020,Lymphoma,,1,,2,
2013Q3,S08000026,,S08000020,Upper GI,,1,,2,
2013Q3,S08000026,,S08000020,Urological,,1,,2,
2013Q3,S08000026,,S08000020,All Cancer Types,d,340,,306,
2013Q3,S08000026,,S08000026,Colorectal,,113,,109,
2013Q3,S08000026,,S08000026,Lung,,1,,2,
2013Q3,S08000026,,S08000026,Upper GI,,113,,109,
2013Q3,S08000026,,S08000026,Urological,,252,,240,
2013Q3,S08000026,,S08000026,All Cancer Types,d,396,,388,
2013Q3,S08000028,,S08000022,Colorectal,,1,,2,
2013Q3,S08000028,,S08000022,Head & Neck,,113,,109,
2013Q3,S08000028,,S08000022,Lung,,1,,2,
2013Q3,S08000028,,S08000022,Lymphoma,,113,,109,
2013Q3,S08000028,,S08000022,Upper GI,,113,,109,
2013Q3,S08000028,,S08000022,Urological,,1,,1,
2013Q3,S08000028,,S08000022,All Cancer Types,d,396,,369,
2013Q3,S08000028,,S08000028,Colorectal,,1,,2,
2013Q3,S08000028,,S08000028,Lung,,203,,203,
2013Q3,S08000028,,S08000028,Melanoma,,203,,203,
2013Q3,S08000028,,S08000028,Upper GI,,113,,109,
2013Q3,S08000028,,S08000028,Urological,,113,,109,
2013Q3,S08000028,,S08000028,All Cancer Types,d,17,,14,
2013Q3,S08000029,,S08000024,Cervical,,1,,1,
2013Q3,S08000029,,S08000024,Colorectal,,113,,109,
2013Q3,S08000029,,S08000024,Head & Neck,,203,,203,
2013Q3,S08000029,,S08000024,Lung,,59,,34,
2013Q3,S08000029,,S08000024,Ovarian,,1,,2,
2013Q3,S08000029,,S08000024,Upper GI,,113,,109,
2013Q3,S08000029,,S08000024,All Cancer Types,d,156,,121,
2013Q3,S08000029,,S08000029,Breast,,198,,195,
2013Q3,S08000029,,S08000029,Cervical,,203,,109,
2013Q3,S08000029,,S08000029,Colorectal,,198,,195,
2013Q3,S08000029,,S08000029,Lung,,204,,204,
2013Q3,S08000029,,S08000029,Lymphoma,,284,,240,
2013Q3,S08000029,,S08000029,Melanoma,,316,,306,
2013Q3,S08000029,,S08000029,Ovarian,,252,,203,
2013Q3,S08000029,,S08000029,Upper GI,,59,,56,
2013Q3,S08000029,,S08000029,Urological,,271,,238,
2013Q3,S08000029,,S08000029,All Cancer Types,d,78,,64,
2013Q3,S08000029,,S08000030,Melanoma,,1,,2,
2013Q3,S08000029,,S08000030,All Cancer Types,d,1,,2,
2013Q3,S08000030,,S08000030,Breast,,359,,351,
2013Q3,S08000030,,S08000030,Cervical,,17,,14,
2013Q3,S08000030,,S08000030,Colorectal,,190,,161,
2013Q3,S08000030,,S08000030,Head & Neck,,113,,109,
2013Q3,S08000030,,S08000030,Lung,,263,,243,
2013Q3,S08000030,,S08000030,Lymphoma,,1,,2,
2013Q3,S08000030,,S08000030,Melanoma,,39,,34,
2013Q3,S08000030,,S08000030,Ovarian,,39,,24,
2013Q3,S08000030,,S08000030,Upper GI,,211,,204,
2013Q3,S08000030,,S08000030,Urological,,198,,195,
2013Q3,S08000030,,S08000030,All Cancer Types,d,164,,152,
2013Q3,S08000031,,S08000022,Colorectal,,1,,2,
2013Q3,S08000031,,S08000022,Lung,,1,,2,
2013Q3,S08000031,,S08000022,All Cancer Types,d,113,,109,
2013Q3,S08000031,,S08000031,Breast,,126,,117,
2013Q3,S08000031,,S08000031,Cervical,,396,,331,
2013Q3,S08000031,,S08000031,Colorectal,,383,,370,
2013Q3,S08000031,,S08000031,Head & Neck,,261,,241,
2013Q3,S08000031,,S08000031,Lung,,13,,6,
2013Q3,S08000031,,S08000031,Lymphoma,,190,,180,
2013Q3,S08000031,,S08000031,Melanoma,,204,,204,
2013Q3,S08000031,,S08000031,Ovarian,,29,,14,
2013Q3,S08000031,,S08000031,Upper GI,,375,,328,
2013Q3,S08000031,,S08000031,Urological,,393,,376,
2013Q3,S08000031,,S08000031,All Cancer Types,d,339,,318,
2013Q3,S08000031,,S08000032,Breast,,17,,3,
2013Q3,S08000031,,S08000032,All Cancer Types,d,17,,3,
2013Q3,S08000031,,SB0801,Lung,,81,,67,
2013Q3,S08000031,,SB0801,All Cancer Types,d,81,,67,
2013Q3,S08000032,,S08000031,Breast,,113,,109,
2013Q3,S08000032,,S08000031,Colorectal,,284,,240,
2013Q3,S08000032,,S08000031,Head & Neck,,113,,109,
2013Q3,S08000032,,S08000031,Lung,,17,,14,
2013Q3,S08000032,,S08000031,Lymphoma,,1,,2,
2013Q3,S08000032,,S08000031,Melanoma,,252,,240,
2013Q3,S08000032,,S08000031,Ovarian,,368,,369,
2013Q3,S08000032,,S08000031,Upper GI,,113,,109,
2013Q3,S08000032,,S08000031,All Cancer Types,d,233,,226,
2013Q3,S08000032,,S08000032,Breast,,292,,287,
2013Q3,S08000032,,S08000032,Cervical,,1,,2,
2013Q3,S08000032,,S08000032,Colorectal,,223,,222,
2013Q3,S08000032,,S08000032,Head & Neck,,284,,279,
2013Q3,S08000032,,S08000032,Lung,,236,,231,
2013Q3,S08000032,,S08000032,Lymphoma,,39,,34,
2013Q3,S08000032,,S08000032,Melanoma,,114,,78,
2013Q3,S08000032,,S08000032,Upper GI,,81,,78,
2013Q3,S08000032,,S08000032,Urological,,29,,388,
2013Q3,S08000032,,S08000032,All Cancer Types,d,101,,92,
2013Q3,S08000032,,SB0801,Lung,,17,,388,
2013Q3,S08000032,,SB0801,All Cancer Types,d,17,,388,
2013Q3,S92000003,d,S08000015,Breast,,338,,328,
2013Q3,S92000003,d,S08000015,Cervical,,252,,240,
2013Q3,S92000003,d,S08000015,Colorectal,,243,,234,
2013Q3,S92000003,d,S08000015,Head & Neck,,316,,240,
2013Q3,S92000003,d,S08000015,Lung,,275,,267,
2013Q3,S92000003,d,S08000015,Lymphoma,,316,,306,
2013Q3,S92000003,d,S08000015,Melanoma,,396,,369,
2013Q3,S92000003,d,S08000015,Ovarian,,203,,109,
2013Q3,S92000003,d,S08000015,Upper GI,,124,,99,
2013Q3,S92000003,d,S08000015,Urological,,240,,231,
2013Q3,S92000003,d,S08000015,All Cancer Types,d,157,,147,
2013Q3,S92000003,d,S08000016,Breast,,48,,45,
2013Q3,S92000003,d,S08000016,Colorectal,,135,,110,
2013Q3,S92000003,d,S08000016,Lung,,340,,331,
2013Q3,S92000003,d,S08000016,Lymphoma,,284,,279,
2013Q3,S92000003,d,S08000016,Melanoma,,203,,203,
2013Q3,S92000003,d,S08000016,Ovarian,,203,,203,
2013Q3,S92000003,d,S08000016,Upper GI,,2,,3,
2013Q3,S92000003,d,S08000016,Urological,,316,,306,
2013Q3,S92000003,d,S08000016,All Cancer Types,d,341,,325,
2013Q3,S92000003,d,S08000017,Breast,,396,,388,
2013Q3,S92000003,d,S08000017,Colorectal,,91,,88,
2013Q3,S92000003,d,S08000017,Head & Neck,,1,,2,
2013Q3,S92000003,d,S08000017,Lung,,396,,388,
2013Q3,S92000003,d,S08000017,Lymphoma,,203,,203,
2013Q3,S92000003,d,S08000017,Melanoma,,316,,306,
2013Q3,S92000003,d,S08000017,Ovarian,,1,,2,
2013Q3,S92000003,d,S08000017,Upper GI,,396,,388,
2013Q3,S92000003,d,S08000017,Urological,,368,,369,
2013Q3,S92000003,d,S08000017,All Cancer Types,d,327,,312,
2013Q3,S92000003,d,S08000019,Breast,,278,,267,
2013Q3,S92000003,d,S08000019,Cervical,,1,,2,
2013Q3,S92000003,d,S08000019,Colorectal,,114,,110,
2013Q3,S92000003,d,S08000019,Head & Neck,,1,,2,
2013Q3,S92000003,d,S08000019,Lung,,185,,180,
2013Q3,S92000003,d,S08000019,Lymphoma,,340,,331,
2013Q3,S92000003,d,S08000019,Melanoma,,316,,279,
2013Q3,S92000003,d,S08000019,Ovarian,,252,,240,
2013Q3,S92000003,d,S08000019,Upper GI,,81,,78,
2013Q3,S92000003,d,S08000019,Urological,,135,,99,
2013Q3,S92000003,d,S08000019,All Cancer Types,d,63,,54,
2013Q3,S92000003,d,S08000020,Breast,,409,,394,
2013Q3,S92000003,d,S08000020,Cervical,,252,,240,
2013Q3,S92000003,d,S08000020,Colorectal,,271,,233,
2013Q3,S92000003,d,S08000020,Head & Neck,,368,,240,
2013Q3,S92000003,d,S08000020,Lung,,301,,267,
2013Q3,S92000003,d,S08000020,Lymphoma,,203,,109,
2013Q3,S92000003,d,S08000020,Melanoma,,284,,279,
2013Q3,S92000003,d,S08000020,Ovarian,,396,,388,
2013Q3,S92000003,d,S08000020,Upper GI,,243,,226,
2013Q3,S92000003,d,S08000020,Urological,,240,,217,
2013Q3,S92000003,d,S08000020,All Cancer Types,d,205,,179,
2013Q3,S92000003,d,S08000022,Breast,,294,,287,
2013Q3,S92000003,d,S08000022,Cervical,,1,,2,
2013Q3,S92000003,d,S08000022,Colorectal,,204,,187,
2013Q3,S92000003,d,S08000022,Head & Neck,,368,,331,
2013Q3,S92000003,d,S08000022,Lung,,219,,187,
2013Q3,S92000003,d,S08000022,Lymphoma,,17,,14,
2013Q3,S92000003,d,S08000022,Melanoma,,368,,369,
2013Q3,S92000003,d,S08000022,Ovarian,,284,,279,
2013Q3,S92000003,d,S08000022,Upper GI,,102,,99,
2013Q3,S92000003,d,S08000022,Urological,,175,,121,
2013Q3,S92000003,d,S08000022,All Cancer Types,d,106,,89,
2013Q3,S92000003,d,S08000024,Breast,,97,,94,
2013Q3,S92000003,d,S08000024,Cervical,,2,,388,
2013Q3,S92000003,d,S08000024,Colorectal,,28,,16,
2013Q3,S92000003,d,S08000024,Head & Neck,,166,,143,
2013Q3,S92000003,d,S08000024,Lung,,409,,387,
2013Q3,S92000003,d,S08000024,Lymphoma,,70,,56,
2013Q3,S92000003,d,S08000024,Melanoma,,190,,180,
2013Q3,S92000003,d,S08000024,Ovarian,,340,,331,
2013Q3,S92000003,d,S08000024,Upper GI,,257,,243,
2013Q3,S92000003,d,S08000024,Urological,,324,,297,
2013Q3,S92000003,d,S08000024,All Cancer Types,d,313,,298,
2013Q3,S92000003,d,S08000025,Lung,,1,,2,
2013Q3,S92000003,d,S08000025,Urological,,1,,2,
2013Q3,S92000003,d,S08000025,All Cancer Types,d,113,,109,
2013Q3,S92000003,d,S08000026,Breast,,284,,279,
2013Q3,S92000003,d,S08000026,Colorectal,,113,,109,
2013Q3,S92000003,d,S08000026,Lung,,1,,2,
2013Q3,S92000003,d,S08000026,Upper GI,,113,,109,
2013Q3,S92000003,d,S08000026,Urological,,252,,240,
2013Q3,S92000003,d,S08000026,All Cancer Types,d,48,,45,
2013Q3,S92000003,d,S08000028,Breast,,1,,2,
2013Q3,S92000003,d,S08000028,Colorectal,,1,,2,
2013Q3,S92000003,d,S08000028,Lung,,203,,203,
2013Q3,S92000003,d,S08000028,Melanoma,,203,,203,
2013Q3,S92000003,d,S08000028,Upper GI,,113,,109,
2013Q3,S92000003,d,S08000028,Urological,,113,,109,
2013Q3,S92000003,d,S08000028,All Cancer Types,d,29,,24,
2013Q3,S92000003,d,S08000029,Breast,,219,,217,
2013Q3,S92000003,d,S08000029,Cervical,,203,,109,
2013Q3,S92000003,d,S08000029,Colorectal,,198,,195,
2013Q3,S92000003,d,S08000029,Lung,,204,,204,
2013Q3,S92000003,d,S08000029,Lymphoma,,284,,240,
2013Q3,S92000003,d,S08000029,Melanoma,,316,,306,
2013Q3,S92000003,d,S08000029,Ovarian,,252,,203,
2013Q3,S92000003,d,S08000029,Upper GI,,59,,56,
2013Q3,S92000003,d,S08000029,Urological,,271,,238,
2013Q3,S92000003,d,S08000029,All Cancer Types,d,82,,68,
2013Q3,S92000003,d,S08000030,Breast,,359,,351,
2013Q3,S92000003,d,S08000030,Cervical,,17,,14,
2013Q3,S92000003,d,S08000030,Colorectal,,190,,161,
2013Q3,S92000003,d,S08000030,Head & Neck,,113,,109,
2013Q3,S92000003,d,S08000030,Lung,,263,,243,
2013Q3,S92000003,d,S08000030,Lymphoma,,1,,2,
2013Q3,S92000003,d,S08000030,Melanoma,,48,,45,
2013Q3,S92000003,d,S08000030,Ovarian,,39,,24,
2013Q3,S92000003,d,S08000030,Upper GI,,219,,204,
2013Q3,S92000003,d,S08000030,Urological,,198,,195,
2013Q3,S92000003,d,S08000030,All Cancer Types,d,167,,154,
2013Q3,S92000003,d,S08000031,Breast,,130,,122,
2013Q3,S92000003,d,S08000031,Cervical,,396,,331,
2013Q3,S92000003,d,S08000031,Colorectal,,404,,385,
2013Q3,S92000003,d,S08000031,Head & Neck,,306,,280,
2013Q3,S92000003,d,S08000031,Lung,,54,,43,
2013Q3,S92000003,d,S08000031,Lymphoma,,198,,187,
2013Q3,S92000003,d,S08000031,Melanoma,,228,,226,
2013Q3,S92000003,d,S08000031,Ovarian,,166,,143,
2013Q3,S92000003,d,S08000031,Upper GI,,409,,370,
2013Q3,S92000003,d,S08000031,Urological,,401,,376,
2013Q3,S92000003,d,S08000031,All Cancer Types,d,367,,348,
2013Q3,S92000003,d,S08000032,Breast,,326,,310,
2013Q3,S92000003,d,S08000032,Cervical,,1,,2,
2013Q3,S92000003,d,S08000032,Colorectal,,223,,222,
2013Q3,S92000003,d,S08000032,Head & Neck,,284,,279,
2013Q3,S92000003,d,S08000032,Lung,,236,,231,
2013Q3,S92000003,d,S08000032,Lymphoma,,39,,34,
2013Q3,S92000003,d,S08000032,Melanoma,,114,,78,
2013Q3,S92000003,d,S08000032,Upper GI,,81,,78,
2013Q3,S92000003,d,S08000032,Urological,,29,,388,
2013Q3,S92000003,d,S08000032,All Cancer Types,d,115,,103,
2013Q3,S92000003,d,SB0801,Lung,,240,,222,
2013Q3,S92000003,d,SB0801,All Cancer Types,d,240,,222,
2013Q4,S08000015,,S08000015,Breast,,369,,370,
2013Q4,S08000015,,S08000015,Colorectal,,248,,234,
2013Q4,S08000015,,S08000015,Head & Neck,,252,,240,
2013Q4,S08000015,,S08000015,Lung,,310,,302,
2013Q4,S08000015,,S08000015,Lymphoma,,203,,203,
2013Q4,S08000015,,S08000015,Melanoma,,340,,331,
2013Q4,S08000015,,S08000015,Ovarian,,284,,279,
2013Q4,S08000015,,S08000015,Upper GI,,17,,14,
2013Q4,S08000015,,S08000015,Urological,,263,,238,
2013Q4,S08000015,,S08000015,All Cancer Types,d,167,,158,
2013Q4,S08000015,,S08000017,Breast,,203,,203,
2013Q4,S08000015,,S08000017,All Cancer Types,d,203,,203,
2013Q4,S08000015,,S08000031,Breast,,203,,203,
2013Q4,S08000015,,S08000031,Colorectal,,1,,2,
2013Q4,S08000015,,S08000031,Head & Neck,,252,,203,
2013Q4,S08000015,,S08000031,Lung,,29,,24,
2013Q4,S08000015,,S08000031,Melanoma,,1,,2,
2013Q4,S08000015,,S08000031,Ovarian,,316,,306,
2013Q4,S08000015,,S08000031,Upper GI,,340,,331,
2013Q4,S08000015,,S08000031,Urological,,113,,2,
2013Q4,S08000015,,S08000031,All Cancer Types,d,236,,226,
2013Q4,S08000015,,SB0801,Lung,,284,,240,
2013Q4,S08000015,,SB0801,All Cancer Types,d,284,,240,
2013Q4,S08000016,,S08000016,Breast,,17,,14,
2013Q4,S08000016,,S08000016,Cervical,,203,,203,
2013Q4,S08000016,,S08000016,Colorectal,,39,,34,
2013Q4,S08000016,,S08000016,Head & Neck,,113,,2,
2013Q4,S08000016,,S08000016,Lung,,17,,14,
2013Q4,S08000016,,S08000016,Lymphoma,,113,,109,
2013Q4,S08000016,,S08000016,Melanoma,,203,,203,
2013Q4,S08000016,,S08000016,Ovarian,,252,,240,
2013Q4,S08000016,,S08000016,Upper GI,,2,,3,
2013Q4,S08000016,,S08000016,Urological,,29,,24,
2013Q4,S08000016,,S08000016,All Cancer Types,d,345,,332,
2013Q4,S08000016,,S08000024,Cervical,,113,,109,
2013Q4,S08000016,,S08000024,Colorectal,,113,,109,
2013Q4,S08000016,,S08000024,Lung,,316,,306,
2013Q4,S08000016,,S08000024,Ovarian,,1,,2,
2013Q4,S08000016,,S08000024,Upper GI,,113,,109,
2013Q4,S08000016,,S08000024,Urological,,1,,2,
2013Q4,S08000016,,S08000024,All Cancer Types,d,48,,45,
2013Q4,S08000017,,S08000017,Breast,,252,,240,
2013Q4,S08000017,,S08000017,Colorectal,,2,,3,
2013Q4,S08000017,,S08000017,Head & Neck,,1,,2,
2013Q4,S08000017,,S08000017,Lung,,396,,388,
2013Q4,S08000017,,S08000017,Lymphoma,,113,,109,
2013Q4,S08000017,,S08000017,Melanoma,,203,,203,
2013Q4,S08000017,,S08000017,Ovarian,,113,,109,
2013Q4,S08000017,,S08000017,Upper GI,,340,,331,
2013Q4,S08000017,,S08000017,Urological,,2,,3,
2013Q4,S08000017,,S08000017,All Cancer Types,d,278,,273,
2013Q4,S08000017,,S08000024,Breast,,1,,2,
2013Q4,S08000017,,S08000024,Cervical,,113,,109,
2013Q4,S08000017,,S08000024,Colorectal,,1,,2,
2013Q4,S08000017,,S08000024,Lung,,340,,331,
2013Q4,S08000017,,S08000024,Melanoma,,203,,203,
2013Q4,S08000017,,S08000024,Ovarian,,1,,2,
2013Q4,S08000017,,S08000024,Urological,,1,,2,
2013Q4,S08000017,,S08000024,All Cancer Types,d,70,,67,
2013Q4,S08000017,,SB0801,Lung,,1,,1,
2013Q4,S08000017,,SB0801,All Cancer Types,d,1,,1,
2013Q4,S08000019,,S08000019,Breast,,248,,238,
2013Q4,S08000019,,S08000019,Cervical,,113,,109,
2013Q4,S08000019,,S08000019,Colorectal,,48,,45,
2013Q4,S08000019,,S08000019,Head & Neck,,252,,203,
2013Q4,S08000019,,S08000019,Lung,,185,,180,
2013Q4,S08000019,,S08000019,Lymphoma,,316,,306,
2013Q4,S08000019,,S08000019,Melanoma,,340,,240,
2013Q4,S08000019,,S08000019,Ovarian,,113,,109,
2013Q4,S08000019,,S08000019,Upper GI,,135,,121,
2013Q4,S08000019,,S08000019,Urological,,219,,204,
2013Q4,S08000019,,S08000019,All Cancer Types,d,65,,54,
2013Q4,S08000019,,S08000024,Upper GI,,1,,2,
2013Q4,S08000019,,S08000024,All Cancer Types,d,1,,2,
2013Q4,S08000019,,S08000031,Breast,,113,,109,
2013Q4,S08000019,,S08000031,Cervical,,1,,2,
2013Q4,S08000019,,S08000031,Colorectal,,113,,2,
2013Q4,S08000019,,S08000031,Head & Neck,,203,,109,
2013Q4,S08000019,,S08000031,Lung,,396,,388,
2013Q4,S08000019,,S08000031,Ovarian,,113,,109,
2013Q4,S08000019,,S08000031,Upper GI,,1,,2,
2013Q4,S08000019,,S08000031,Urological,,1,,2,
2013Q4,S08000019,,S08000031,All Cancer Types,d,124,,99,
2013Q4,S08000019,,SB0801,Lung,,316,,306,
2013Q4,S08000019,,SB0801,All Cancer Types,d,316,,306,
2013Q4,S08000020,,S08000020,Breast,,409,,393,
2013Q4,S08000020,,S08000020,Cervical,,113,,109,
2013Q4,S08000020,,S08000020,Colorectal,,271,,243,
2013Q4,S08000020,,S08000020,Head & Neck,,368,,369,
2013Q4,S08000020,,S08000020,Lung,,320,,297,
2013Q4,S08000020,,S08000020,Lymphoma,,48,,14,
2013Q4,S08000020,,S08000020,Melanoma,,17,,306,
2013Q4,S08000020,,S08000020,Ovarian,,340,,240,
2013Q4,S08000020,,S08000020,Upper GI,,240,,233,
2013Q4,S08000020,,S08000020,Urological,,248,,231,
2013Q4,S08000020,,S08000020,All Cancer Types,d,220,,198,
2013Q4,S08000020,,S08000024,Head & Neck,,113,,109,
2013Q4,S08000020,,S08000024,All Cancer Types,d,113,,109,
2013Q4,S08000020,,S08000026,Breast,,1,,2,
2013Q4,S08000020,,S08000026,All Cancer Types,d,1,,2,
2013Q4,S08000020,,S08000031,Head & Neck,,1,,2,
2013Q4,S08000020,,S08000031,All Cancer Types,d,1,,2,
2013Q4,S08000022,,S08000020,Lung,,203,,203,
2013Q4,S08000022,,S08000020,Ovarian,,113,,109,
2013Q4,S08000022,,S08000020,All Cancer Types,d,284,,279,
2013Q4,S08000022,,S08000022,Breast,,294,,290,
2013Q4,S08000022,,S08000022,Cervical,,203,,203,
2013Q4,S08000022,,S08000022,Colorectal,,114,,78,
2013Q4,S08000022,,S08000022,Head & Neck,,203,,203,
2013Q4,S08000022,,S08000022,Lung,,248,,231,
2013Q4,S08000022,,S08000022,Lymphoma,,284,,279,
2013Q4,S08000022,,S08000022,Melanoma,,368,,369,
2013Q4,S08000022,,S08000022,Ovarian,,1,,2,
2013Q4,S08000022,,S08000022,Upper GI,,48,,45,
2013Q4,S08000022,,S08000022,Urological,,48,,24,
2013Q4,S08000022,,S08000022,All Cancer Types,d,71,,59,
2013Q4,S08000022,,S08000031,Head & Neck,,1,,2,
2013Q4,S08000022,,S08000031,Lung,,1,,1,
2013Q4,S08000022,,S08000031,Lymphoma,,1,,2,
2013Q4,S08000022,,S08000031,Urological,,1,,2,
2013Q4,S08000022,,S08000031,All Cancer Types,d,252,,203,
2013Q4,S08000022,,SB0801,Lung,,1,,2,
2013Q4,S08000022,,SB0801,All Cancer Types,d,1,,2,
2013Q4,S08000024,,S08000019,Breast,,113,,109,
2013Q4,S08000024,,S08000019,All Cancer Types,d,113,,109,
2013Q4,S08000024,,S08000024,Breast,,86,,84,
2013Q4,S08000024,,S08000024,Cervical,,2,,3,
2013Q4,S08000024,,S08000024,Colorectal,,8,,398,
2013Q4,S08000024,,S08000024,Head & Neck,,70,,45,
2013Q4,S08000024,,S08000024,Lung,,351,,302,
2013Q4,S08000024,,S08000024,Lymphoma,,156,,110,
2013Q4,S08000024,,S08000024,Melanoma,,59,,45,
2013Q4,S08000024,,S08000024,Ovarian,,396,,388,
2013Q4,S08000024,,S08000024,Upper GI,,243,,231,
2013Q4,S08000024,,S08000024,Urological,,348,,337,
2013Q4,S08000024,,S08000024,All Cancer Types,d,296,,282,
2013Q4,S08000024,,S08000029,Breast,,1,,2,
2013Q4,S08000024,,S08000029,All Cancer Types,d,1,,2,
2013Q4,S08000024,,S08000032,Breast,,1,,2,
2013Q4,S08000024,,S08000032,All Cancer Types,d,1,,2,
2013Q4,S08000025,,S08000020,Ovarian,,1,,2,
2013Q4,S08000025,,S08000020,Upper GI,,1,,2,
2013Q4,S08000025,,S08000020,All Cancer Types,d,113,,109,
2013Q4,S08000025,,S08000025,Colorectal,,1,,2,
2013Q4,S08000025,,S08000025,Urological,,113,,109,
2013Q4,S08000025,,S08000025,All Cancer Types,d,203,,203,
2013Q4,S08000026,,S08000020,Lung,,1,,2,
2013Q4,S08000026,,S08000020,Upper GI,,1,,2,
2013Q4,S08000026,,S08000020,Urological,,1,,2,
2013Q4,S08000026,,S08000020,All Cancer Types,d,203,,203,
2013Q4,S08000026,,S08000026,Breast,,1,,2,
2013Q4,S08000026,,S08000026,Colorectal,,252,,240,
2013Q4,S08000026,,S08000026,Upper GI,,113,,109,
2013Q4,S08000026,,S08000026,Urological,,252,,240,
2013Q4,S08000026,,S08000026,All Cancer Types,d,17,,14,
2013Q4,S08000028,,S08000022,Colorectal,,1,,2,
2013Q4,S08000028,,S08000022,Head & Neck,,203,,203,
2013Q4,S08000028,,S08000022,Lung,,1,,2,
2013Q4,S08000028,,S08000022,Ovarian,,1,,2,
2013Q4,S08000028,,S08000022,Upper GI,,113,,109,
2013Q4,S08000028,,S08000022,Urological,,1,,2,
2013Q4,S08000028,,S08000022,All Cancer Types,d,396,,388,
2013Q4,S08000028,,S08000028,Colorectal,,252,,240,
2013Q4,S08000028,,S08000028,Lung,,1,,2,
2013Q4,S08000028,,S08000028,Lymphoma,,1,,2,
2013Q4,S08000028,,S08000028,Melanoma,,1,,2,
2013Q4,S08000028,,S08000028,Upper GI,,1,,2,
2013Q4,S08000028,,S08000028,All Cancer Types,d,368,,369,
2013Q4,S08000028,,SB0801,Lung,,113,,109,
2013Q4,S08000028,,SB0801,All Cancer Types,d,113,,109,
2013Q4,S08000029,,S08000024,Breast,,1,,2,
2013Q4,S08000029,,S08000024,Cervical,,252,,203,
2013Q4,S08000029,,S08000024,Colorectal,,113,,109,
2013Q4,S08000029,,S08000024,Head & Neck,,203,,203,
2013Q4,S08000029,,S08000024,Lung,,29,,14,
2013Q4,S08000029,,S08000024,Upper GI,,368,,369,
2013Q4,S08000029,,S08000024,Urological,,252,,240,
2013Q4,S08000029,,S08000024,All Cancer Types,d,228,,217,
2013Q4,S08000029,,S08000029,Breast,,91,,88,
2013Q4,S08000029,,S08000029,Colorectal,,145,,132,
2013Q4,S08000029,,S08000029,Head & Neck,,1,,2,
2013Q4,S08000029,,S08000029,Lung,,211,,204,
2013Q4,S08000029,,S08000029,Melanoma,,113,,109,
2013Q4,S08000029,,S08000029,Ovarian,,1,,2,
2013Q4,S08000029,,S08000029,Upper GI,,59,,56,
2013Q4,S08000029,,S08000029,Urological,,166,,143,
2013Q4,S08000029,,S08000029,All Cancer Types,d,25,,17,
2013Q4,S08000030,,S08000024,Lung,,1,,1,
2013Q4,S08000030,,S08000024,All Cancer Types,d,1,,1,
2013Q4,S08000030,,S08000030,Breast,,292,,276,
2013Q4,S08000030,,S08000030,Cervical,,284,,240,
2013Q4,S08000030,,S08000030,Colorectal,,261,,233,
2013Q4,S08000030,,S08000030,Head & Neck,,340,,279,
2013Q4,S08000030,,S08000030,Lung,,261,,231,
2013Q4,S08000030,,S08000030,Lymphoma,,1,,2,
2013Q4,S08000030,,S08000030,Melanoma,,340,,331,
2013Q4,S08000030,,S08000030,Ovarian,,252,,240,
2013Q4,S08000030,,S08000030,Upper GI,,185,,161,
2013Q4,S08000030,,S08000030,Urological,,211,,195,
2013Q4,S08000030,,S08000030,All Cancer Types,d,133,,107,
2013Q4,S08000031,,S08000019,Breast,,396,,388,
2013Q4,S08000031,,S08000019,All Cancer Types,d,396,,388,
2013Q4,S08000031,,S08000031,Breast,,162,,155,
2013Q4,S08000031,,S08000031,Cervical,,252,,240,
2013Q4,S08000031,,S08000031,Colorectal,,386,,368,
2013Q4,S08000031,,S08000031,Head & Neck,,269,,246,
2013Q4,S08000031,,S08000031,Lung,,43,,29,
2013Q4,S08000031,,S08000031,Lymphoma,,156,,143,
2013Q4,S08000031,,S08000031,Melanoma,,70,,67,
2013Q4,S08000031,,S08000031,Ovarian,,340,,331,
2013Q4,S08000031,,S08000031,Upper GI,,338,,311,
2013Q4,S08000031,,S08000031,Urological,,10,,395,
2013Q4,S08000031,,S08000031,All Cancer Types,d,350,,330,
2013Q4,S08000031,,S08000032,Breast,,368,,369,
2013Q4,S08000031,,S08000032,All Cancer Types,d,368,,369,
2013Q4,S08000031,,SB0801,Lung,,70,,34,
2013Q4,S08000031,,SB0801,Urological,,1,,2,
2013Q4,S08000031,,SB0801,All Cancer Types,d,81,,45,
2013Q4,S08000032,,S08000031,Cervical,,252,,240,
2013Q4,S08000032,,S08000031,Colorectal,,252,,203,
