"MonthEnding","HBT","DiagnosticTestType","DiagnosticTestDescription","NumberOnList","NumberOnListQF","NumberWaitingOverFourWeeks","NumberWaitingOverFourWeeksQF","NumberWaitingOverSixWeeks","NumberWaitingOverSixWeeksQF"
"20200630","S08000016","Endoscopy","Cystoscopy",35,"",22,"",19,""
"20200731","S08000016","Endoscopy","Cystoscopy",42,"",30,"",24,""
"20200831","S08000016","Endoscopy","Cystoscopy",48,"",39,"",37,""
"20200930","S08000016","Endoscopy","Cystoscopy",51,"",32,"",30,""
"20201031","S08000016","Endoscopy","Cystoscopy",46,"",35,"",31,""
"20201130","S08000016","Endoscopy","Cystoscopy",49,"",41,"",40,""
"20201231","S08000016","Endoscopy","Cystoscopy",53,"",38,"",36,""
"20210131","S08000016","Endoscopy","Cystoscopy",47,"",39,"",38,""
"20210228","S08000016","Endoscopy","Cystoscopy",34,"",30,"",30,""
"20210331","S08000016","Endoscopy","Cystoscopy",32,"",15,"",14,""
"20210430","S08000016","Endoscopy","Cystoscopy",38,"",18,"",17,""
"20210531","S08000016","Endoscopy","Cystoscopy",42,"",31,"",27,""
"20210630","S08000016","Endoscopy","Cystoscopy",42,"",28,"",23,""
"20210731","S08000016","Endoscopy","Cystoscopy",30,"",23,"",20,""
"20210831","S08000016","Endoscopy","Cystoscopy",20,"",6,"",5,""
"20210930","S08000016","Endoscopy","Cystoscopy",21,"",8,"",3,""
"20070930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20071231","S08000016","Endoscopy","Lower Endoscopy",31,"",2,"",0,""
"20080131","S08000016","Endoscopy","Lower Endoscopy",47,"",0,"",0,""
"20080229","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20080331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20080430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20080531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20080630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20080731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20080831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20080930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20081031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20081130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20081231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20090131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20090228","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20090331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20090430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20090531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20090630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20090731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20090831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20090930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20091031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20091130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20091231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20100131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20100228","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20100331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20100430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20100531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20100630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20100731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20100831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20100930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20101031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20101130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20101231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20110131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20110228","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20110331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20110430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20110531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20110630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20110731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20110831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20110930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20111031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20111130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20111231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20120131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20120229","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20120331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20120430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20120531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20120630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20120731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20120831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20120930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20121031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20121130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20121231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20130131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20130228","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20130331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20130430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20130531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20130630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20130731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20130831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20130930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20131031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20131130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20131231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20140131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20140228","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20140331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20140430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20140531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20140630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20140731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20140831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20140930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20141031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20141130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20141231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20150131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20150228","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20150331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20150430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20150531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20150630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20150731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20150831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20150930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20151031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20151130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20151231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20160131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20160229","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20160331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20160430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20160531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20160630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20160731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20160831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20160930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20161031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20161130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20161231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20170131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20170228","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20170331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20170430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20170531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20170630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20170731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20170831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20170930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20171031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20171130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20171231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20180131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20180228","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20180331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20180430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20180531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20180630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20180731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20180831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20180930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20181031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20181130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20181231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20190131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20190228","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20190331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20190430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20190531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20190630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20190731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20190831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20190930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20191031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20191130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20191231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20200131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20200229","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20200331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20200430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20200531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20200630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20200731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20200831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20200930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20201031","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20201130","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20201231","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20210131","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20210228","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20210331","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20210430","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20210531","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20210630","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20210731","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20210831","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20210930","S08000016","Endoscopy","Lower Endoscopy",0,"",0,"",0,""
"20070930","S08000016","Endoscopy","Upper Endoscopy",0,"",0,"",0,""
"20071231","S08000016","Endoscopy","Upper Endoscopy",0,"",0,"",0,""
"20080131","S08000016","Endoscopy","Upper Endoscopy",0,"",0,"",0,""
"20080229","S08000016","Endoscopy","Upper Endoscopy",45,"",0,"",0,""
"20080331","S08000016","Endoscopy","Upper Endoscopy",65,"",3,"",0,""
"20080430","S08000016","Endoscopy","Upper Endoscopy",50,"",1,"",0,""
"20080531","S08000016","Endoscopy","Upper Endoscopy",50,"",2,"",0,""
"20080630","S08000016","Endoscopy","Upper Endoscopy",72,"",1,"",0,""
"20080731","S08000016","Endoscopy","Upper Endoscopy",47,"",0,"",0,""
"20080831","S08000016","Endoscopy","Upper Endoscopy",32,"",1,"",0,""
"20080930","S08000016","Endoscopy","Upper Endoscopy",44,"",1,"",0,""
"20081031","S08000016","Endoscopy","Upper Endoscopy",26,"",0,"",0,""
"20081130","S08000016","Endoscopy","Upper Endoscopy",34,"",0,"",0,""
"20081231","S08000016","Endoscopy","Upper Endoscopy",37,"",0,"",0,""
"20090131","S08000016","Endoscopy","Upper Endoscopy",28,"",0,"",0,""
"20090228","S08000016","Endoscopy","Upper Endoscopy",12,"",0,"",0,""
"20090331","S08000016","Endoscopy","Upper Endoscopy",66,"",0,"",0,""
"20090430","S08000016","Endoscopy","Upper Endoscopy",41,"",0,"",0,""
"20090531","S08000016","Endoscopy","Upper Endoscopy",42,"",0,"",0,""
"20090630","S08000016","Endoscopy","Upper Endoscopy",56,"",0,"",0,""
"20090731","S08000016","Endoscopy","Upper Endoscopy",37,"",0,"",0,""
"20090831","S08000016","Endoscopy","Upper Endoscopy",65,"",0,"",0,""
"20090930","S08000016","Endoscopy","Upper Endoscopy",43,"",0,"",0,""
"20091031","S08000016","Endoscopy","Upper Endoscopy",34,"",0,"",0,""
"20091130","S08000016","Endoscopy","Upper Endoscopy",44,"",0,"",0,""
"20091231","S08000016","Endoscopy","Upper Endoscopy",62,"",0,"",0,""
"20100131","S08000016","Endoscopy","Upper Endoscopy",57,"",0,"",0,""
"20100228","S08000016","Endoscopy","Upper Endoscopy",79,"",2,"",0,""
"20100331","S08000016","Endoscopy","Upper Endoscopy",76,"",0,"",0,""
"20100430","S08000016","Endoscopy","Upper Endoscopy",46,"",0,"",0,""
"20100531","S08000016","Endoscopy","Upper Endoscopy",44,"",0,"",0,""
"20100630","S08000016","Endoscopy","Upper Endoscopy",41,"",0,"",0,""
"20100731","S08000016","Endoscopy","Upper Endoscopy",32,"",0,"",0,""
"20100831","S08000016","Endoscopy","Upper Endoscopy",41,"",0,"",0,""
"20100930","S08000016","Endoscopy","Upper Endoscopy",53,"",0,"",0,""
"20101031","S08000016","Endoscopy","Upper Endoscopy",49,"",0,"",0,""
"20101130","S08000016","Endoscopy","Upper Endoscopy",76,"",0,"",0,""
"20101231","S08000016","Endoscopy","Upper Endoscopy",71,"",0,"",0,""
"20110131","S08000016","Endoscopy","Upper Endoscopy",91,"",2,"",0,""
"20110228","S08000016","Endoscopy","Upper Endoscopy",81,"",6,"",3,""
"20110331","S08000016","Endoscopy","Upper Endoscopy",104,"",1,"",0,""
"20110430","S08000016","Endoscopy","Upper Endoscopy",67,"",0,"",0,""
"20110531","S08000016","Endoscopy","Upper Endoscopy",67,"",1,"",0,""
"20110630","S08000016","Endoscopy","Upper Endoscopy",72,"",4,"",0,""
"20110731","S08000016","Endoscopy","Upper Endoscopy",42,"",2,"",0,""
"20110831","S08000016","Endoscopy","Upper Endoscopy",36,"",0,"",0,""
"20110930","S08000016","Endoscopy","Upper Endoscopy",36,"",0,"",0,""
"20111031","S08000016","Endoscopy","Upper Endoscopy",30,"",0,"",0,""
"20111130","S08000016","Endoscopy","Upper Endoscopy",44,"",0,"",0,""
"20111231","S08000016","Endoscopy","Upper Endoscopy",22,"",0,"",0,""
"20120131","S08000016","Endoscopy","Upper Endoscopy",9,"",0,"",0,""
"20120229","S08000016","Endoscopy","Upper Endoscopy",19,"",0,"",0,""
"20120331","S08000016","Endoscopy","Upper Endoscopy",47,"",0,"",0,""
"20120430","S08000016","Endoscopy","Upper Endoscopy",48,"",0,"",0,""
"20120531","S08000016","Endoscopy","Upper Endoscopy",36,"",0,"",0,""
"20120630","S08000016","Endoscopy","Upper Endoscopy",70,"",0,"",0,""
"20120731","S08000016","Endoscopy","Upper Endoscopy",35,"",0,"",0,""
"20120831","S08000016","Endoscopy","Upper Endoscopy",43,"",0,"",0,""
"20120930","S08000016","Endoscopy","Upper Endoscopy",52,"",0,"",0,""
"20121031","S08000016","Endoscopy","Upper Endoscopy",23,"",0,"",0,""
"20121130","S08000016","Endoscopy","Upper Endoscopy",52,"",0,"",0,""
"20121231","S08000016","Endoscopy","Upper Endoscopy",49,"",0,"",0,""
"20130131","S08000016","Endoscopy","Upper Endoscopy",49,"",0,"",0,""
"20130228","S08000016","Endoscopy","Upper Endoscopy",53,"",0,"",0,""
"20130331","S08000016","Endoscopy","Upper Endoscopy",49,"",0,"",0,""
"20130430","S08000016","Endoscopy","Upper Endoscopy",47,"",0,"",0,""
"20130531","S08000016","Endoscopy","Upper Endoscopy",62,"",1,"",1,""
"20130630","S08000016","Endoscopy","Upper Endoscopy",79,"",2,"",0,""
"20130731","S08000016","Endoscopy","Upper Endoscopy",60,"",0,"",0,""
"20130831","S08000016","Endoscopy","Upper Endoscopy",52,"",0,"",0,""
"20130930","S08000016","Endoscopy","Upper Endoscopy",68,"",0,"",0,""
"20131031","S08000016","Endoscopy","Upper Endoscopy",83,"",0,"",0,""
"20131130","S08000016","Endoscopy","Upper Endoscopy",49,"",0,"",0,""
"20131231","S08000016","Endoscopy","Upper Endoscopy",65,"",0,"",0,""
"20140131","S08000016","Endoscopy","Upper Endoscopy",62,"",0,"",0,""
"20140228","S08000016","Endoscopy","Upper Endoscopy",77,"",0,"",0,""
"20140331","S08000016","Endoscopy","Upper Endoscopy",60,"",0,"",0,""
"20140430","S08000016","Endoscopy","Upper Endoscopy",42,"",0,"",0,""
"20140531","S08000016","Endoscopy","Upper Endoscopy",34,"",0,"",0,""
"20140630","S08000016","Endoscopy","Upper Endoscopy",36,"",0,"",0,""
"20140731","S08000016","Endoscopy","Upper Endoscopy",43,"",0,"",0,""
"20140831","S08000016","Endoscopy","Upper Endoscopy",45,"",0,"",0,""
"20140930","S08000016","Endoscopy","Upper Endoscopy",47,"",0,"",0,""
"20141031","S08000016","Endoscopy","Upper Endoscopy",75,"",0,"",0,""
"20141130","S08000016","Endoscopy","Upper Endoscopy",72,"",0,"",0,""
"20141231","S08000016","Endoscopy","Upper Endoscopy",46,"",0,"",0,""
"20150131","S08000016","Endoscopy","Upper Endoscopy",74,"",0,"",0,""
"20150228","S08000016","Endoscopy","Upper Endoscopy",78,"",0,"",0,""
"20150331","S08000016","Endoscopy","Upper Endoscopy",90,"",0,"",0,""
"20150430","S08000016","Endoscopy","Upper Endoscopy",66,"",0,"",0,""
"20150531","S08000016","Endoscopy","Upper Endoscopy",94,"",7,"",0,""
"20150630","S08000016","Endoscopy","Upper Endoscopy",78,"",6,"",1,""
"20150731","S08000016","Endoscopy","Upper Endoscopy",76,"",23,"",4,""
"20150831","S08000016","Endoscopy","Upper Endoscopy",108,"",15,"",0,""
"20150930","S08000016","Endoscopy","Upper Endoscopy",114,"",23,"",4,""
"20151031","S08000016","Endoscopy","Upper Endoscopy",124,"",24,"",1,""
"20151130","S08000016","Endoscopy","Upper Endoscopy",74,"",13,"",3,""
"20151231","S08000016","Endoscopy","Upper Endoscopy",150,"",22,"",6,""
"20160131","S08000016","Endoscopy","Upper Endoscopy",133,"",30,"",1,""
"20160229","S08000016","Endoscopy","Upper Endoscopy",135,"",14,"",0,""
"20160331","S08000016","Endoscopy","Upper Endoscopy",133,"",39,"",13,""
"20160430","S08000016","Endoscopy","Upper Endoscopy",84,"",21,"",6,""
"20160531","S08000016","Endoscopy","Upper Endoscopy",98,"",27,"",5,""
"20160630","S08000016","Endoscopy","Upper Endoscopy",79,"",2,"",0,""
"20160731","S08000016","Endoscopy","Upper Endoscopy",55,"",1,"",1,""
"20160831","S08000016","Endoscopy","Upper Endoscopy",28,"",0,"",0,""
"20160930","S08000016","Endoscopy","Upper Endoscopy",83,"",0,"",0,""
"20161031","S08000016","Endoscopy","Upper Endoscopy",84,"",0,"",0,""
"20161130","S08000016","Endoscopy","Upper Endoscopy",62,"",4,"",0,""
"20161231","S08000016","Endoscopy","Upper Endoscopy",56,"",0,"",0,""
"20170131","S08000016","Endoscopy","Upper Endoscopy",38,"",0,"",0,""
"20170228","S08000016","Endoscopy","Upper Endoscopy",62,"",0,"",0,""
"20170331","S08000016","Endoscopy","Upper Endoscopy",77,"",0,"",0,""
"20170430","S08000016","Endoscopy","Upper Endoscopy",67,"",0,"",0,""
"20170531","S08000016","Endoscopy","Upper Endoscopy",67,"",0,"",0,""
"20170630","S08000016","Endoscopy","Upper Endoscopy",56,"",0,"",0,""
"20170731","S08000016","Endoscopy","Upper Endoscopy",71,"",2,"",0,""
"20170831","S08000016","Endoscopy","Upper Endoscopy",47,"",0,"",0,""
"20170930","S08000016","Endoscopy","Upper Endoscopy",75,"",1,"",0,""
"20171031","S08000016","Endoscopy","Upper Endoscopy",66,"",3,"",0,""
"20171130","S08000016","Endoscopy","Upper Endoscopy",42,"",0,"",0,""
"20171231","S08000016","Endoscopy","Upper Endoscopy",37,"",0,"",0,""
"20180131","S08000016","Endoscopy","Upper Endoscopy",56,"",0,"",0,""
"20180228","S08000016","Endoscopy","Upper Endoscopy",53,"",0,"",0,""
"20180331","S08000016","Endoscopy","Upper Endoscopy",69,"",0,"",0,""
"20180430","S08000016","Endoscopy","Upper Endoscopy",64,"",0,"",0,""
"20180531","S08000016","Endoscopy","Upper Endoscopy",103,"",6,"",0,""
"20180630","S08000016","Endoscopy","Upper Endoscopy",70,"",5,"",0,""
"20180731","S08000016","Endoscopy","Upper Endoscopy",46,"",2,"",0,""
"20180831","S08000016","Endoscopy","Upper Endoscopy",42,"",0,"",0,""
"20180930","S08000016","Endoscopy","Upper Endoscopy",80,"",2,"",0,""
"20181031","S08000016","Endoscopy","Upper Endoscopy",112,"",4,"",0,""
"20181130","S08000016","Endoscopy","Upper Endoscopy",80,"",10,"",2,""
"20181231","S08000016","Endoscopy","Upper Endoscopy",111,"",24,"",5,""
"20190131","S08000016","Endoscopy","Upper Endoscopy",80,"",8,"",2,""
"20190228","S08000016","Endoscopy","Upper Endoscopy",97,"",8,"",0,""
"20190331","S08000016","Endoscopy","Upper Endoscopy",56,"",6,"",0,""
"20190430","S08000016","Endoscopy","Upper Endoscopy",83,"",4,"",0,""
"20190531","S08000016","Endoscopy","Upper Endoscopy",79,"",8,"",1,""
"20190630","S08000016","Endoscopy","Upper Endoscopy",75,"",16,"",1,""
"20190731","S08000016","Endoscopy","Upper Endoscopy",86,"",11,"",0,""
"20190831","S08000016","Endoscopy","Upper Endoscopy",67,"",0,"",0,""
"20190930","S08000016","Endoscopy","Upper Endoscopy",86,"",4,"",0,""
"20191031","S08000016","Endoscopy","Upper Endoscopy",86,"",5,"",0,""
"20191130","S08000016","Endoscopy","Upper Endoscopy",57,"",4,"",0,""
"20191231","S08000016","Endoscopy","Upper Endoscopy",48,"",0,"",0,""
"20200131","S08000016","Endoscopy","Upper Endoscopy",55,"",0,"",0,""
"20200229","S08000016","Endoscopy","Upper Endoscopy",62,"",0,"",0,""
"20200331","S08000016","Endoscopy","Upper Endoscopy",38,"",4,"",1,""
"20200430","S08000016","Endoscopy","Upper Endoscopy",43,"",23,"",14,""
"20200531","S08000016","Endoscopy","Upper Endoscopy",39,"",22,"",20,""
"20200630","S08000016","Endoscopy","Upper Endoscopy",46,"",14,"",10,""
"20200731","S08000016","Endoscopy","Upper Endoscopy",63,"",22,"",17,""
"20200831","S08000016","Endoscopy","Upper Endoscopy",87,"",33,"",21,""
"20200930","S08000016","Endoscopy","Upper Endoscopy",103,"",39,"",29,""
"20201031","S08000016","Endoscopy","Upper Endoscopy",114,"",66,"",53,""
"20201130","S08000016","Endoscopy","Upper Endoscopy",131,"",74,"",63,""
"20201231","S08000016","Endoscopy","Upper Endoscopy",137,"",81,"",75,""
"20210131","S08000016","Endoscopy","Upper Endoscopy",154,"",100,"",95,""
"20210228","S08000016","Endoscopy","Upper Endoscopy",152,"",112,"",101,""
"20210331","S08000016","Endoscopy","Upper Endoscopy",162,"",115,"",109,""
"20210430","S08000016","Endoscopy","Upper Endoscopy",193,"",134,"",118,""
"20210531","S08000016","Endoscopy","Upper Endoscopy",198,"",137,"",123,""
"20210630","S08000016","Endoscopy","Upper Endoscopy",200,"",141,"",132,""
"20210731","S08000016","Endoscopy","Upper Endoscopy",213,"",161,"",152,""
"20210831","S08000016","Endoscopy","Upper Endoscopy",233,"",164,"",155,""
"20210930","S08000016","Endoscopy","Upper Endoscopy",243,"",185,"",168,""
"20070930","S08000016","Imaging","Barium Studies",0,"",0,"",0,""
"20071231","S08000016","Imaging","Barium Studies",0,"",0,"",0,""
"20080131","S08000016","Imaging","Barium Studies",0,"",0,"",0,""
"20080229","S08000016","Imaging","Barium Studies",2,"",2,"",0,""
"20080331","S08000016","Imaging","Barium Studies",5,"",3,"",0,""
"20080430","S08000016","Imaging","Barium Studies",21,"",3,"",0,""
"20080531","S08000016","Imaging","Barium Studies",13,"",0,"",0,""
